PREMIUM;;
Tanggal;Jumlah ( Penjualan );
;qty (L);Jumlah (Rp)
2016-01-01;8.694;63.467.076
2016-01-02;10.044;73.320.032
2016-01-03;13.928;101.671.188
2016-01-04;12.518;91.382.972
2016-01-05;11.112;77.424.375
2016-01-06;11.606;80.663.279
2016-01-07;9.673;67.228.046
2016-01-08;9.382;65.207.889
2016-01-09;10.501;72.983.479
2016-01-10;10.659;74.081.582
2016-01-11;4.043;28.097.877
2016-01-12;6.669;46.349.402
2016-01-13;9.336;64.885.825
2016-01-14;7.159;49.752.062
2016-01-15;9.456;65.718.922
2016-01-16;6.275;43.613.405
2016-01-17;8.963;62.289.375
2016-01-18;3.161;21.970.757
2016-01-19;3.728;25.911.964
2016-01-20;8.489;58.997.439
2016-01-21;8.189;56.914.871
2016-01-22;8.041;55.883.421
2016-01-23;10.109;70.259.010
2016-01-24;9.796;68.084.772
2016-01-25;8.856;61.549.826
2016-01-26;8.349;58.027.358
2016-01-27;8.144;56.603.649
2016-01-28;8.357;58.079.135
2016-01-29;6.981;48.516.769
2016-01-30;9.198;63.925.336
2016-01-31;3;28.983
2016-02-01;1;9.661
2016-02-02;38;263.197
2016-02-03;8.771;60.955.114
2016-02-04;9.175;63.766.807
2016-02-05;10.057;69.892.884
2016-02-06;5.645;39.221.423
2016-02-07;8.955;62.240.239
2016-02-08;4.735;32.906.026
2016-02-09;10.847;75.383.384
2016-02-10;4.806;33.399.546
2016-02-11;1.771;12.308.728
2016-02-12;9.228;64.132.446
2016-02-13;9.368;65.110.797
2016-02-14;9.997;69.479.498
2016-02-15;1.402;9.741.120
2016-02-16;6.034;41.937.482
2016-02-17;10.230;71.096.694
2016-02-18;9.339;64.906.050
2016-02-19;9.142;63.538.846
2016-02-20;9.508;66.082.060
2016-02-21;10.598;73.653.668
2016-02-22;8.086;56.198.743
2016-02-23;8.558;59.479.977
2016-02-24;9.304;64.665.789
2016-02-25;9.220;64.081.989
2016-02-26;9.113;63.333.821
2016-02-27;10.790;74.991.196
2016-02-28;29;200.786
2016-02-29;9.353;65.002.517
2016-03-01;11.716,66; 81.430.788,00 
2016-03-02;10.334,69; 71.826.096,00 
2016-03-03;4.068,82; 28.278.299,00 
2016-03-04;9.728,98; 68.629.691,00 
2016-03-05;5.906,54; 41.050.454,00 
2016-03-06;10.943,80; 76.059.410,00 
2016-03-07;34,22; 237.829,00 
2016-03-08;7.962,91; 55.342.225,00 
2016-03-09;7.873,06; 54.717.768,00 
2016-03-10;86,44; 600.758,00 
2016-03-11;3.598,08; 25.006.656,00 
2016-03-12;9.645,50; 67.036.226,00 
2016-03-13;7.123,22; 49.506.380,00 
2016-03-14;8.393,67; 58.336.007,00 
2016-03-15;7.694,00; 53.473.301,00 
2016-03-16;9.164,73; 63.694.874,00 
2016-03-17;2.668,69; 18.547.396,00 
2016-03-18;3.769,48; 26.197.886,00 
2016-03-19;9.847,76; 68.441.933,00 
2016-03-20;9.825,20; 68.285.141,00 
2016-03-21;8.411,01; 58.456.519,00 
2016-03-22;4.172,04; 28.995.678,00 
2016-03-23;8.631,01; 59.985.520,00 
2016-03-24;8.982,21; 62.426.360,00 
2016-03-25;7.992,55; 55.548.223,00 
2016-03-26;1.778,96; 12.363.772,00 
2016-03-27;6.982,57; 48.528.861,00 
2016-03-28;8.661,32; 60.196.174,00 
2016-03-29;2.393,04; 16.631.628,00 
2016-03-30;8.578,20; 59.618.491,00 
2016-03-31;7.612,97; 52.910.142,00 
2016-04-01;7.297,11; 47.066.360,00 
2016-04-02;10.562,86; 68.130.448,00 
2016-04-03;9.766,32; 62.992.764,00 
2016-04-04;1.682,20; 10.850.190,00 
2016-04-05;8.337,31; 53.775.650,00 
2016-04-06;8.227,08; 53.064.666,00 
2016-04-07;7.417,51; 47.842.939,00 
2016-04-08;9.010,13; 58.115.339,00 
2016-04-09;10.077,61; 65.000.584,00 
2016-04-10;5.239,44; 33.794.388,00 
2016-04-11;7.349,45; 47.403.952,00 
2016-04-12;9.434,72; 60.853.944,00 
2016-04-13;10.107,91; 65.196.020,00 
2016-04-14;9.060,23; 58.438.484,00 
2016-04-15;8.991,76; 57.996.852,00 
2016-04-16;9.752,47; 62.903.432,00 
2016-04-17;8.941,93; 57.675.449,00 
2016-04-18;9.833,53; 63.426.269,00 
2016-04-19;6.202,69; 40.007.351,00 
2016-04-20;8.778,88; 56.623.777,00 
2016-04-21;8.280,76; 53.410.902,00 
2016-04-22;9.204,69; 59.370.250,00 
2016-04-23;9.283,62; 59.879.349,00 
2016-04-24;9.811,58; 63.284.691,00 
2016-04-25;578,77; 3.733.067,00 
2016-04-26;2.793,61; 18.018.785,00 
2016-04-27;8.673,58; 55.944.591,00 
2016-04-28;7.560,45; 48.765.753,00 
2016-04-29;7.570,63; 48.845.150,00 
2016-04-30;4.974,53; 32.085.719,00 
2016-05-01;0,00; -   
2016-05-02;33,77; 217.817,00 
2016-05-03;7.356,04; 47.446.458,00 
2016-05-04;8.406,06; 54.219.087,00 
2016-05-05;6.304,27; 40.662.542,00 
2016-05-06;9.376,20; 60.476.490,00 
2016-05-07;8.949,63; 57.725.114,00 
2016-05-08;6.955,90; 44.865.555,00 
2016-05-09;0,00; -   
2016-05-10;8.687,74; 56.035.923,00 
2016-05-11;6.957,32; 44.874.714,00 
2016-05-12;3.017,75; 19.464.488,00 
2016-05-13;9.521,59; 61.414.256,00 
2016-05-14;10.165,13; 65.565.089,00 
2016-05-15;8.953,21; 57.748.205,00 
2016-05-16;0,00; -   
2016-05-17;3.218,85; 20.761.583,00 
2016-05-18;8.839,69; 57.016.001,00 
2016-05-19;8.841,88; 57.030.126,00 
2016-05-20;8.646,22; 55.768.119,00 
2016-05-21;7.301,87; 47.097.062,00 
2016-05-22;9.826,26; 63.379.378,00 
2016-05-23;61,82; 398.739,00 
2016-05-24;5.973,86; 38.531.398,00 
2016-05-25;9.399,76; 60.628.453,00 
2016-05-26;676,65; 4.364.393,00 
2016-05-27;0,00; -   
2016-05-28;9.946,38; 64.154.152,00 
2016-05-29;5.742,32; 37.038.029,00 
2016-05-30;37,82; 243.939,00 
2016-05-31;8.873,32; 57.232.915,00 
2016-06-01;7.020,04; 45.279.258,00 
2016-06-02;8.869,38; 57.207.502,00 
2016-06-03;6.983,86; 45.045.897,00 
2016-06-04;4.871,07; 31.418.402,00 
2016-06-05;10.880,21; 70.177.355,00 
2016-06-06;55,58; 358.492,00 
2016-06-07;145,16; 936.283,00 
2016-06-08;6.277,44; 40.489.488,00 
2016-06-09;8.368,76; 53.978.503,00 
2016-06-10;1.044,35; 6.736.058,00 
2016-06-11;20,00; 129.000,00 
2016-06-12;1,89; 12.191,00 
2016-06-13;0,00; -   
2016-06-14;0,00; -   
2016-06-15;0,00; -   
2016-06-16;43,09; 277.931,00 
2016-06-17;6.702,56; 43.231.512,00 
2016-06-18;9.542,70; 61.550.416,00 
2016-06-19;7.918,93; 51.077.099,00 
2016-06-20;8.275,80; 53.378.910,00 
2016-06-21;8.339,07; 53.787.002,00 
2016-06-22;8.013,38; 51.686.301,00 
2016-06-23;8.549,08; 55.141.566,00 
2016-06-24;7.921,67; 51.094.772,00 
2016-06-25;9.277,99; 59.843.036,00 
2016-06-26;9.289,77; 59.919.017,00 
2016-06-27;8.501,60; 54.835.321,00 
2016-06-28;8.852,33; 57.097.528,00 
2016-06-29;8.168,77; 52.688.567,00 
2016-06-30;8.618,91; 55.591.970,00 
2016-07-01;8.995,06; 58.018.138,00 
2016-07-02;10.917,82; 70.419.940,00 
2016-07-03;10.940,60; 70.566.871,00 
2016-07-04;10.927,43; 70.481.924,00 
2016-07-05;11.306,52; 72.927.376,00 
2016-07-06;6.748,86; 43.530.147,00 
2016-07-07;7.779,38; 50.177.001,00 
2016-07-08;7.292,34; 47.036.593,00 
2016-07-09;7.444,70; 48.018.315,00 
2016-07-10;8.728,70; 56.300.115,00 
2016-07-11;9.037,47; 58.291.682,00 
2016-07-12;8.811,30; 56.832.885,00 
2016-07-13;8.650,03; 55.792.694,00 
2016-07-14;8.261,20; 53.285.320,00 
2016-07-15;8.282,32; 53.420.965,00 
2016-07-16;9.519,91; 61.403.420,00 
2016-07-17;6.295,87; 40.608.361,00 
2016-07-18;9.442,90; 60.906.705,00 
2016-07-19;9.333,44; 60.200.689,00 
2016-07-20;7.428,51; 47.913.890,00 
2016-07-21;8.600,79; 55.475.096,00 
2016-07-22;6.511,37; 41.998.337,00 
2016-07-23;5.692,21; 36.714.755,00 
2016-07-24;9.057,68; 58.422.036,00 
2016-07-25;9.215,98; 59.443.072,00 
2016-07-26;9.312,86; 60.067.948,00 
2016-07-27;8.606,94; 55.521.213,00 
2016-07-28;8.637,80; 55.713.810,00 
2016-07-29;8.571,71; 55.288.175,00 
2016-07-30;9.490,46; 61.213.468,00 
2016-07-31;10.502,06; 67.738.288,00 
2016-08-01;8.438,53; 54.428.519,00 
2016-08-02;0,00; -   
2016-08-03;8.201,00; 52.896.100,00 
2016-08-04;10.890,00; 70.240.000,00 
2016-08-05;7.520,00; 48.504.000,00 
2016-08-06;9.530,00; 61.469.000,00 
2016-08-07;9.292,00; 59.933.800,00 
2016-08-08;9.886,00; 63.764.700,00 
2016-08-09;8.126,00; 52.412.500,00 
2016-08-10;7.306,00; 47.182.400,00 
2016-08-11;5.389,00; 34.759.000,00 
2016-08-12;5.569,00; 35.919.930,00 
2016-08-13;4.637,00; 29.908.600,00 
2016-08-14;7.752,00; 51.935.350,00 
2016-08-15;10.296,67; 66.374.671,00 
2016-08-16;10.618,88; 68.492.126,00 
2016-08-17;8.819,31; 56.884.550,00 
2016-08-18;10.223,87; 65.943.962,00 
2016-08-19;7.702,89; 49.685.641,00 
2016-08-20;8.702,65; 56.128.043,00 
2016-08-21;7.013,75; 45.238.837,00 
2016-08-22;7.192,81; 46.393.624,00 
2016-08-23;8.092,00; 52.193.400,00 
2016-08-24;6.836,86; 44.097.748,00 
2016-08-25;7.072,67; 45.618.722,00 
2016-08-26;6.462,79; 41.687.512,00 
2016-08-27;7.022,27; 45.293.642,00 
2016-08-28;7.121,31; 45.932.450,00 
2016-08-29;0,00; -   
2016-08-30;5.330,77; 34.383.467,00 
2016-08-31;6.755,56; 43.573.362,00 
2016-09-01;7.779,53; 50.177.968,00 
2016-09-02;7.428,35; 47.912.858,00 
2016-09-03;8.205,58; 52.925.992,00 
2016-09-04;9.738,41; 62.812.744,00 
2016-09-05;6.888,62; 44.431.599,00 
2016-09-06;7.588,16; 48.943.632,00 
2016-09-07;7.920,37; 51.086.387,00 
2016-09-08;3.726,76; 24.037.602,00 
2016-09-09;8.397,38; 54.163.101,00 
2016-09-10;12.282,81; 79.224.124,50 
2016-09-11;8.620,82; 55.604.289,00 
2016-09-12;7.235,32; 46.667.814,00 
2016-09-13;8.510,08; 54.890.016,00 
2016-09-14;7.654,80; 49.373.460,00 
2016-09-15;7.657,04; 49.387.908,00 
2016-09-16;7.726,29; 49.834.570,50 
2016-09-17;8.611,14; 55.541.853,00 
2016-09-18;7.797,90; 50.296.455,00 
2016-09-19;7.341,39; 47.351.966,00 
2016-09-20;7.297,44; 47.068.489,00 
2016-09-21;7.324,60; 47.243.026,00 
2016-09-22;7.391,59; 47.675.756,00 
2016-09-23;8.782,69; 56.648.350,50 
2016-09-24;9.253,36; 59.684.172,00 
2016-09-25;7.607,08; 49.065.666,00 
2016-09-26;8.138,48; 52.493.196,00 
2016-09-27;7.300,35; 47.087.253,00 
2016-09-28;7.280,39; 46.958.513,00 
2016-09-29;8.834,23; 56.980.784,00 
2016-09-30;8.819,46; 56.885.517,00 
2016-10-01;9.153,26; 59.038.527,00 
2016-10-02;4.997,72; 32.235.294,00 
2016-10-03;3.464,77; 22.347.766,00 
2016-10-04;10.177,30; 65.643.585,00 
2016-10-05;10.578,43; 68.230.874,00 
2016-10-06;7.329,26; 47.273.727,00 
2016-10-07;6.333,79; 40.852.946,00 
2016-10-08;8.474,55; 54.660.847,00 
2016-10-09;8.447,84; 54.488.569,00 
2016-10-10;7.357,12; 47.453.424,00 
2016-10-11;8.089,03; 52.174.243,00 
2016-10-12;6.310,67; 40.703.822,00 
2016-10-13;6.563,53; 42.334.504,00 
2016-10-14;7.197,53; 46.424.069,00 
2016-10-15;9.952,49; 64.193.561,00 
2016-10-16;9.031,85; 58.255.433,00 
2016-10-17;7.764,42; 50.080.509,00 
2016-10-18;5.761,77; 37.165.673,00 
2016-10-19;3.646,51; 23.519.989,00 
2016-10-20;5.853,69; 37.756.300,00 
2016-10-21;7.811,51; 50.384.239,00 
2016-10-22;7.592,08; 48.968.916,00 
2016-10-23;7.393,93; 47.690.848,00 
2016-10-24;7.651,38; 49.351.400,00 
2016-10-25;7.291,83; 47.032.303,00 
2016-10-26;6.721,06; 43.350.837,00 
2016-10-27;6.266,53; 40.419.118,00 
2016-10-28;5.783,80; 37.305.510,00 
2016-10-29;6.514,19; 42.016.525,00 
2016-10-30;7.318,19; 47.202.325,00 
2016-10-31;7.069,56; 45.598.662,00 
2016-11-01;6.751,11; 43.544.659,00 
2016-11-02;6.450,41; 41.605.144,00 
2016-11-03;6.429,79; 41.472.145,00 
2016-11-04;6.512,02; 42.002.530,00 
2016-11-05;7.532,93; 48.587.398,00 
2016-11-06;8.892,05; 57.353.722,00 
2016-11-07;8.305,74; 53.572.023,00 
2016-11-08;8.303,12; 53.555.124,00 
2016-11-09;7.250,23; 46.763.983,00 
2016-11-10;7.799,04; 50.303.808,00 
2016-11-11;6.938,57; 44.753.975,00 
2016-11-12;8.100,10; 52.245.644,00 
2016-11-13;7.292,01; 47.033.464,00 
2016-11-14;8.222,50; 53.035.124,00 
2016-11-15;7.101,65; 45.805.642,00 
2016-11-16;7.041,69; 45.418.900,00 
2016-11-17;7.211,69; 46.515.816,00 
2016-11-18;7.055,90; 45.510.555,00 
2016-11-19;8.686,70; 56.033.050,00 
2016-11-20;8.177,58; 52.745.391,00 
2016-11-21;7.121,36; 45.932.965,00 
2016-11-22;6.776,10; 43.705.845,00 
2016-11-23;6.984,15; 45.047.767,00 
2016-11-24;7.339,14; 47.337.452,00 
2016-11-25;7.063,26; 45.558.026,00 
2016-11-26;7.766,93; 50.096.698,00 
2016-11-27;10.486,05; 67.635.022,00 
2016-11-28;7.594,79; 48.986.395,00 
2016-11-29;6.979,69; 45.019.000,00 
2016-11-30;6.686,73; 43.129.408,00 
2016-12-01;8.153,67; 52.591.171,00 
2016-12-02;7.611,59; 49.094.755,00 
2016-12-03;7.902,03; 50.968.093,00 
2016-12-04;2.709,56; 17.476.662,00 
2016-12-05;7.691,10; 49.607.597,00 
2016-12-06;7.696,36; 49.641.521,00 
2016-12-07;7.091,26; 45.738.626,00 
2016-12-08;8.269,68; 53.339.436,00 
2016-12-09;5.369,81; 34.635.274,00 
2016-12-10;8.709,87; 56.178.661,00 
2016-12-11;8.617,39; 55.582.165,00 
2016-12-12;9.027,71; 58.228.793,00 
2016-12-13;4.498,67; 29.016.421,00 
2016-12-14;8.340,04; 53.793.258,00 
2016-12-15;6.781,44; 43.740.287,00 
2016-12-16;6.854,47; 44.210.170,00 
2016-12-17;8.074,00; 52.077.300,00 
2016-12-18;8.437,49; 54.421.810,00 
2016-12-19;5.241,84; 33.809.867,00 
2016-12-20;0,00; -   
2016-12-21;7.100,23; 45.796.483,00 
2016-12-22;7.061,87; 45.549.061,00 
2016-12-23;7.858,80; 50.689.260,00 
2016-12-24;9.962,03; 64.255.094,00 
2016-12-25;9.739,65; 62.820.742,00 
2016-12-26;9.399,28; 60.625.355,00 
2016-12-27;8.750,30; 56.439.435,00 
2016-12-28;8.200,21; 52.891.354,00 
2016-12-29;7.952,06; 51.290.851,00 
2016-12-30;8.305,69; 53.571.700,00 
2016-12-31;11.832,13; 76.316.916,00 
2017-01-01;8.742,65; 56.390.092,00 
2017-01-02;7.723,71; 49.817.929,00 
2017-01-03;9.302,26; 59.995.707,00 
2017-01-04;5.350,08; 34.559.552,00 
2017-01-05;7.622,18; 49.163.060,00 
2017-01-06;7.888,82; 50.882.887,00 
2017-01-07;8.350,13; 53.858.338,00 
2017-01-08;8.726,09; 56.283.281,00 
2017-01-09;7.971,44; 51.415.787,00 
2017-01-10;8.701,43; 56.124.223,00 
2017-01-11;7.962,50; 51.358.125,00 
2017-01-12;7.361,11; 47.479.159,00 
2017-01-13;7.120,90; 45.929.805,00 
2017-01-14;8.448,22; 54.491.019,00 
2017-01-15;8.057,08; 51.961.716,00 
2017-01-16;7.544,16; 48.659.638,00 
2017-01-17;7.889,14; 50.884.953,00 
2017-01-18;7.034,59; 45.373.105,00 
2017-01-19;8.243,34; 53.169.542,00 
2017-01-20;7.633,98; 49.239.170,00 
2017-01-21;7.442,58; 48.004.318,00 
2017-01-22;7.537,14; 48.614.553,00 
2017-01-23;6.506,75; 41.968.537,00 
2017-01-24;7.085,26; 45.699.992,00 
2017-01-25;6.602,22; 42.584.319,00 
2017-01-26;7.406,12; 47.769.474,00 
2017-01-27;7.791,82; 50.257.238,00 
2017-01-28;8.601,08; 55.476.966,00 
2017-01-29;8.801,01; 56.766.214,00 
2017-01-30;7.971,61; 51.416.884,00 
2017-01-31;4.421,14; 28.516.353,00 
2017-02-01;7.090,73; 45.735.208,00 
2017-02-02;7.925,87; 51.121.862,00 
2017-02-03;9.533,10; 61.488.495,00 
2017-02-04;9.334,58; 60.208.040,00 
2017-02-05;7.580,19; 48.892.225,00 
2017-02-06;8.556,36; 55.188.521,00 
2017-02-07;5.270,72; 33.996.144,00 
2017-02-08;7.626,07; 49.188.151,00 
2017-02-09;8.433,55; 54.396.397,00 
2017-02-10;8.258,72; 53.268.744,00 
2017-02-11;8.150,00; 52.567.500,00 
2017-02-12;8.700,18; 56.000.062,00 
2017-02-13;10.697,27; 68.997.392,00 
2017-02-14;9.835,58; 63.265.541,00 
2017-02-15;6.970,90; 44.962.305,00 
2017-02-16;3.431,97; 22.136.207,00 
2017-02-17;2.909,74; 18.767.823,00 
2017-02-18;7.888,74; 50.882.373,00 
2017-02-19;8.302,88; 53.553.575,00 
2017-02-20;7.828,22; 50.492.019,00 
2017-02-21;8.296,10; 53.509.845,00 
2017-02-22;7.636,85; 49.257.682,00 
2017-02-23;7.205,08; 46.472.766,00 
2017-02-24;7.791,46; 50.254.918,00 
2017-02-25;9.127,64; 58.873.279,00 
2017-02-26;8.173,51; 52.719.139,00 
2017-02-27;7.747,77; 49.973.116,00 
2017-02-28;7.242,19; 46.712.126,00 
2017-03-01;8.592,85; 55.423.882,00 
2017-03-02;7.457,87; 48.103.261,00 
2017-03-03;7.791,22; 50.253.368,00 
2017-03-04;9.094,29; 58.658.170,00 
2017-03-05;8.792,53; 56.711.818,00 
2017-03-06;9.788,61; 63.136.535,00 
2017-03-07;633,67; 4.087.172,00 
2017-03-08;7.176,67; 46.289.521,00 
2017-03-09;8.472,75; 54.642.787,00 
2017-03-10;6.813,60; 43.947.719,00 
2017-03-11;9.061,48; 58.446.546,00 
2017-03-12;7.587,10; 48.936.796,00 
2017-03-13;9.125,70; 58.860.727,00 
2017-03-14;10.482,95; 67.608.578,00 
2017-03-15;6.093,34; 39.302.043,00 
2017-03-16;8.125,37; 52.408.636,00 
2017-03-17;8.613,06; 55.554.237,00 
2017-03-18;9.492,47; 61.226.432,00 
2017-03-19;9.928,73; 64.040.309,00 
2017-03-20;11.580,16; 74.692.032,00 
2017-03-21;9.752,73; 62.905.109,00 
2017-03-22;8.529,54; 55.015.534,00 
2017-03-23;8.357,43; 53.905.424,00 
2017-03-24;9.423,03; 60.778.544,00 
2017-03-25;10.034,57; 64.722.977,00 
2017-03-26;10.119,62; 65.271.549,00 
2017-03-27;9.426,06; 60.798.087,00 
2017-03-28;7.943,14; 51.233.254,00 
2017-03-29;8.881,08; 57.282.966,00 
2017-03-30;9.287,42; 59.903.860,00 
2017-03-31;9.812,74; 63.292.174,00 
2017-04-01;10.128,64; 65.329.728,00 
2017-04-02;10.063,79; 64.911.446,00 
2017-04-03;11.560,13; 74.562.839,00 
2017-04-04;9.881,16; 63.733.482,00 
2017-04-05;10.445,09; 67.370.831,00 
2017-04-06;9.938,64; 64.104.229,00 
2017-04-07;11.099,73; 71.593.259,00 
2017-04-08;11.419,01; 73.652.615,00 
2017-04-09;11.036,01; 71.182.265,00 
2017-04-10;11.832,95; 76.322.528,00 
2017-04-11;9.205,85; 59.377.732,00 
2017-04-12;8.983,27; 57.942.092,00 
2017-04-13;10.127,69; 65.323.275,00 
2017-04-14;10.148,50; 65.457.826,00 
2017-04-15;10.212,70; 65.871.916,00 
2017-04-16;11.490,60; 74.114.371,00 
2017-04-17;10.054,23; 64.849.784,00 
2017-04-18;10.306,23; 66.475.184,00 
2017-04-19;9.772,52; 63.032.755,00 
2017-04-20;9.651,17; 62.250.047,00 
2017-04-21;10.137,99; 65.390.036,00 
2017-04-22;11.126,68; 71.767.086,00 
2017-04-23;10.298,98; 66.428.422,00 
2017-04-24;11.072,31; 71.416.400,00 
2017-04-25;0,00; -   
